_*0 0:00 |the georgia association of the deaf hosted its first ever| 8LCX_1ayqzA
_*9127 2:11 |then all other uploads of the same video will access the track you made .| 3MjtY4pooFA
_*9128 2:25 |it will help many deaf people| 3MjtY4pooFA
_*9129 2:29 |you know that many youtube videos have no subtitles| 3MjtY4pooFA
_*9130 2:36 |i 'm like ... looking at flapping mouths uuhuh ...| 3MjtY4pooFA
_*9131 2:41 |what is he/she talking about ? !| 3MjtY4pooFA
_*9132 2:44 |now , with that protocol| 3MjtY4pooFA
_*9133 2:47 |maybe the videomaker is lazy and do n't want to make subtitles , then| 3MjtY4pooFA
_*9134 2:55 |another person can make the subtitles and upload it for the video . easy !| 3MjtY4pooFA
_*9135 3:01 ok 3MjtY4pooFA
_*9136 3:03 |but there 's one problem| 3MjtY4pooFA
_*9137 3:07 |for the project to get started| 3MjtY4pooFA
_*9138 3:10 |they need $ 25,000 , did you know ?| 3MjtY4pooFA
_*9139 3:16 |so , if you want to support the project| 3MjtY4pooFA
_*9140 3:24 |then you should donate money to mozilla| 3MjtY4pooFA
_*9141 3:29 |they have a page with information for the project| 3MjtY4pooFA
_*9142 3:34 |go to mozilla.com| 3MjtY4pooFA
_*9143 3:39 |if you are interested , then donate and help !| 3MjtY4pooFA
_*9144 3:42 please 3MjtY4pooFA
_*9145 3:44 |please , it 's not only for deaf but also for international relationships| 3MjtY4pooFA
_*9146 3:51 |with many different languages .| 3MjtY4pooFA
_*9147 3:57 |so , please donate , yes ? : d| 3MjtY4pooFA
_*9148 4:00 |thank you !| 3MjtY4pooFA
_*9149 4:02 |have a fun day .| 3MjtY4pooFA
_*9150 0:46 |there is nothing worth more| P3Qoitsl_ZQ
_*9151 0:50 |that will ever come close| P3Qoitsl_ZQ
_*9152 0:53 |nothing can compare| P3Qoitsl_ZQ
_*9153 0:57 |you 're our living hope| P3Qoitsl_ZQ
_*9154 1:03 |your presence| P3Qoitsl_ZQ
_*9155 1:13 |i 've tasted and i 've seen| P3Qoitsl_ZQ
_*9156 1:16 |of the sweetest of loves| P3Qoitsl_ZQ
_*9157 1:19 |when my heart becomes free| P3Qoitsl_ZQ
_*9158 1:22 |and my shame is undone| P3Qoitsl_ZQ
_*9159 1:30 |your presence lord| P3Qoitsl_ZQ
_*9160 1:38 |holy spirit you are welcome here| P3Qoitsl_ZQ
_*9161 1:44 |come flood this place and| P3Qoitsl_ZQ
_*9162 1:46 |fill the atmosphere| P3Qoitsl_ZQ
_*9163 1:51 |your glory god is what| P3Qoitsl_ZQ
_*9164 1:54 |our hearts long for| P3Qoitsl_ZQ
_*9165 1:59 |to be overcome by| P3Qoitsl_ZQ
_*9166 2:02 |your presence lord| P3Qoitsl_ZQ
_*9167 2:10 |your presence lord| P3Qoitsl_ZQ
_*9168 2:19 |there is nothing worth more| P3Qoitsl_ZQ
_*9169 2:23 |that will ever come close| P3Qoitsl_ZQ
_*9170 2:26 |nothing can compare| P3Qoitsl_ZQ
_*9171 2:29 |you are our living hope| P3Qoitsl_ZQ
_*9172 2:36 |your presence| P3Qoitsl_ZQ
_*9173 2:46 |i 've tasted and i 've seen| P3Qoitsl_ZQ
_*9174 2:49 |of the sweetest of loves| P3Qoitsl_ZQ
_*9175 2:52 |when my heart becomes free| P3Qoitsl_ZQ
_*9176 2:56 |and my shame is undone| P3Qoitsl_ZQ
_*9177 3:03 |your presence lord| P3Qoitsl_ZQ
_*9178 3:12 |holy spirit you are welcome here| P3Qoitsl_ZQ
_*9179 3:18 |come flood this place and| P3Qoitsl_ZQ
_*9180 3:20 |fill the atmosphere| P3Qoitsl_ZQ
_*9181 3:25 |your glory god is| P3Qoitsl_ZQ
_*9182 3:28 |what our hearts long for| P3Qoitsl_ZQ
_*9183 3:31 |to be overcome by| P3Qoitsl_ZQ
_*9184 3:34 |your presence lord| P3Qoitsl_ZQ
_*9185 3:39 |holy spirit you are welcome here| P3Qoitsl_ZQ
_*9186 3:44 |come flood this place and| P3Qoitsl_ZQ
_*9187 3:48 |fill the atmosphere| P3Qoitsl_ZQ
_*9188 3:51 |your glory god is| P3Qoitsl_ZQ
_*9189 3:54 |what our hearts long for| P3Qoitsl_ZQ
_*9190 3:58 |to be overcome by| P3Qoitsl_ZQ
_*9191 4:01 |your presence lord| P3Qoitsl_ZQ
_*9192 4:10 |your presence lord| P3Qoitsl_ZQ
_*9193 4:17 |your presence my god| P3Qoitsl_ZQ
_*9194 4:25 |your presence lord| P3Qoitsl_ZQ
_*9195 4:32 |let us become more aware of| P3Qoitsl_ZQ
_*9196 4:36 |your presence| P3Qoitsl_ZQ
_*9197 4:38 |let us experience the glory of| P3Qoitsl_ZQ
_*9198 4:42 |your goodness| P3Qoitsl_ZQ
_*9199 4:45 |let us become more aware of| P3Qoitsl_ZQ
_*9200 4:49 |your presence| P3Qoitsl_ZQ
_*9201 4:52 |let us experience the glory of| P3Qoitsl_ZQ
_*9202 4:56 |your goodness| P3Qoitsl_ZQ
_*9203 4:59 |let us become more aware of| P3Qoitsl_ZQ
_*9204 5:02 |your presence| P3Qoitsl_ZQ
_*9205 5:05 |let us experience the glory of| P3Qoitsl_ZQ
_*9206 5:09 |your goodness lord| P3Qoitsl_ZQ
_*9207 5:13 |let us become more aware of| P3Qoitsl_ZQ
_*9208 5:17 |your presence| P3Qoitsl_ZQ
_*9209 5:19 |let us experience the glory of| P3Qoitsl_ZQ
_*9210 5:22 |your goodness lord| P3Qoitsl_ZQ
_*9211 5:31 |holy spirit you are welcome here| P3Qoitsl_ZQ
_*9212 5:38 |come flood this place and| P3Qoitsl_ZQ
_*9213 5:40 |fill the atmosphere| P3Qoitsl_ZQ
_*9214 5:44 |your glory god is| P3Qoitsl_ZQ
_*9215 5:48 |what our hearts long for| P3Qoitsl_ZQ
_*9216 5:51 |to be overcome by| P3Qoitsl_ZQ
_*9217 5:55 |your presence lord| P3Qoitsl_ZQ
_*9218 0:20 |go ! upfield ! ! !| PnQx94herr0
_*9219 0:23 |the way he stands , the way he approaches people ...| PnQx94herr0
_*9220 0:27 |the way he talks with anybody everywhere we go .| PnQx94herr0
_*9221 0:31 |he has no fears .| PnQx94herr0
_*9222 0:35 |we , as a society , have n't even tapped into the potential of| PnQx94herr0
_*9223 0:39 |what deaf people can do or contribute| PnQx94herr0
_*9224 0:42 |to society , and if i had to| PnQx94herr0
_*9225 0:44 |say there was a goal as a parent ,| PnQx94herr0
_*9226 0:50 |it is not to have my children be just like me ,| PnQx94herr0
_*9227 0:52 |i want them to be better than me .| PnQx94herr0
_*9228 0:54 |i want to tap into jacob 's| PnQx94herr0
_*9229 0:59 |abilities and successes , and use that as| PnQx94herr0
_*9230 1:06 |opposed to what people view as a disability or inability .| PnQx94herr0
_*9231 1:13 |because once you alter it you 've changed their state of mind ,| PnQx94herr0
_*9232 1:17 |no matter what you do .| PnQx94herr0
_*9233 1:19 |if you make jacob hearing , using cochlear| PnQx94herr0
_*9234 1:22 |implants and hearing aids and all these things ,| PnQx94herr0
_*9235 1:28 |it changes their constitution .| PnQx94herr0
_*9236 1:30 |yeah , their mind will never develop at the intention| PnQx94herr0
_*9237 1:34 |of how it was supposed to be developing .| PnQx94herr0
_*9238 1:38 |there 's this ... where he 's supposed to go .| PnQx94herr0
_*9239 1:41 |i want jacob to be able to be jacob .| PnQx94herr0
_*9240 0:00 |as you know sandy will approach the mid-atlantic coast later this weekend| jTGsj7Srl-U
_*9241 0:04 |and is now expected to make landfall sometimes monday| jTGsj7Srl-U
_*9242 0:08 |but obviously with the weather that could change| jTGsj7Srl-U
_*9243 0:11 |whenever or whatever % uh| jTGsj7Srl-U
_*9244 0:14 |wherever the storm comes ashore however our city is very likely to feel it 's a| jTGsj7Srl-U
_*9245 0:19 fax jTGsj7Srl-U
_*9246 0:19 |in the form a high tides hide when high winds and heavy rainfall lasting for| jTGsj7Srl-U
_*9247 0:24 |several days| jTGsj7Srl-U
_*9248 0:26 |and is the possibility apart summer city flooding| jTGsj7Srl-U
_*9249 0:29 |or high winds that could force certain bridges to be closed the metropolitan| jTGsj7Srl-U
_*9250 0:34 |transit authority which is coordinating its storm planning with the city in our| jTGsj7Srl-U
_*9251 0:38 |office and emergency management| jTGsj7Srl-U
_*9252 0:40 |has also said that it will take necessary precautions as the storm| jTGsj7Srl-U
_*9253 0:44 |mir 's the coast now our first obligation is to protect the most vulnerable new| jTGsj7Srl-U
_*9254 0:48 |yorkers in these areas| jTGsj7Srl-U
_*9255 0:50 |hospital patients those in nursing homes and homes for the aged| jTGsj7Srl-U
_*9256 0:54 |and also new yorkers who because an age or infirmity| jTGsj7Srl-U
_*9257 0:58 |are homebound there are six hospitals in 41 chronic care facilities in the area| jTGsj7Srl-U
_*9258 1:03 |that we are discussing| jTGsj7Srl-U
_*9259 1:04 |at this point we are not let me repeat that : not recommending| jTGsj7Srl-U
_*9260 1:09 |evacuations up these facilities instead| jTGsj7Srl-U
_*9261 1:12 |in order that they can function most effectively during this period| jTGsj7Srl-U
_*9262 1:16 |we 're recommending that they cancel all elective admissions and discharge| jTGsj7Srl-U
_*9263 1:20 |all patients that can be safely discharged they should keep all the| jTGsj7Srl-U
_*9264 1:25 |patients for whom such discharges| jTGsj7Srl-U
_*9265 1:27 |or transfers are risky however he 'd rather be safe than sorry| jTGsj7Srl-U
_*9266 1:31 |on the other hand you ca n't evacuate| jTGsj7Srl-U
_*9267 1:34 |every time an you do n't want to to it its| jTGsj7Srl-U
_*9268 1:38 |inconvenient for people and even dangerous to some people| jTGsj7Srl-U
_*9269 1:41 |to move cell unit there 's a there 's two sides to it but at the moment| jTGsj7Srl-U
_*9270 1:46 |we do not think that it 's necessary to make that decision right now| jTGsj7Srl-U
_*9271 0:01 |hi i 'm craig| omfeUg-m9Y4
_*9272 0:03 |and i work for the irs identity theft is one of the fastest-growing crimes| omfeUg-m9Y4
_*9273 0:08 nationwide omfeUg-m9Y4
_*9274 0:09 |and refund fraud caused by identity theft is one of the biggest challenges| omfeUg-m9Y4
_*9275 0:13 |facing the irs| omfeUg-m9Y4
_*9276 0:15 |the harm it can cause| omfeUg-m9Y4
_*9277 0:18 |innocent tax payers is a problem we take very seriously| omfeUg-m9Y4
_*9278 0:25 |even though we continue to face budget challenges our work on identity theft| omfeUg-m9Y4
_*9279 0:29 |and refund fraud continues to expand| omfeUg-m9Y4
_*9280 0:32 of omfeUg-m9Y4
_*9281 0:36 |several thousand irs employees are currently working on identity theft| omfeUg-m9Y4
_*9282 0:41 |issues the| omfeUg-m9Y4
_*9283 0:43 0 omfeUg-m9Y4
_*9284 0:45 |during the past couple years we 've enhanced our efforts to help identity| omfeUg-m9Y4
_*9285 0:49 |theft victims| omfeUg-m9Y4
_*9286 0:49 |and considerably decrease the time it takes to resolve these complex issues| omfeUg-m9Y4
_*9287 1:01 |our hard work including enhanced prevention efforts and staffing| omfeUg-m9Y4
_*9288 1:05 improvements omfeUg-m9Y4
_*9289 1:06 |has paid off we have stopped millions| omfeUg-m9Y4
_*9290 1:11 |up suspicious returns and prevented billions in fraudulent refunds| omfeUg-m9Y4
_*9291 1:18 well omfeUg-m9Y4
_*9292 1:22 |as a result of these aggressive efforts we 're resolving most identity theft| omfeUg-m9Y4
_*9293 1:26 cases omfeUg-m9Y4
_*9294 1:27 |in less than 180 days| omfeUg-m9Y4
_*9295 1:32 |we have accomplished a lot we are continually reviewing our processes| omfeUg-m9Y4
_*9296 1:36 |to ensure that we are doing everything possible to minimize the impact of id| omfeUg-m9Y4
_*9297 1:41 theft omfeUg-m9Y4
_*9298 1:41 |to help victims and to investigate those who are committing the crimes| omfeUg-m9Y4
_*9299 1:46 |if you would like more information| omfeUg-m9Y4
_*9300 1:54 |about our efforts to combat id theft go to| omfeUg-m9Y4
_*9301 1:58 |irs dot gov good and type| omfeUg-m9Y4
_*9302 2:01 |identity theft in the search field| omfeUg-m9Y4
_*9303 0:00 |learn asl in 31 days : day 4| 8Nw9ABhSbvc
_*9304 0:01 |hi ! i 'm rochelle ( sign name ) , it 's great to see you| 8Nw9ABhSbvc
_*9305 0:05 |today it 's day 4 ! yay !| 8Nw9ABhSbvc
_*9306 0:09 |you 're doing so good ! i promise .| 8Nw9ABhSbvc
_*9307 0:13 |today you 'll learn places .| 8Nw9ABhSbvc
_*9308 0:18 |it 's a short lesson , better than yesterday . yesterday : you remember that sign , right ?| 8Nw9ABhSbvc
_*9309 0:24 |good , okay , let 's get started .| 8Nw9ABhSbvc
_*9310 0:28 |home . home is where you eat and sleep .| 8Nw9ABhSbvc
_*9311 0:37 |work . a-hand shape| 8Nw9ABhSbvc
_*9312 0:43 |tap together . sometimes you 'll see wrists together .| 8Nw9ABhSbvc
_*9313 0:48 |that 's okay , it 's best this way .| 8Nw9ABhSbvc
_*9314 0:56 |school .| 8Nw9ABhSbvc
_*9315 1:01 |like a teacher clapping her hands to get attention .| 8Nw9ABhSbvc
_*9316 1:07 |store .| 8Nw9ABhSbvc
_*9317 1:17 |church . s-hand shape and c-hand shape .| 8Nw9ABhSbvc
_*9318 1:28 |church . i 'm going to church .| 8Nw9ABhSbvc
_*9319 1:31 |come .| 8Nw9ABhSbvc
_*9320 1:38 |go . come and go .| 8Nw9ABhSbvc
_*9321 1:44 |go there . go there . come here .| 8Nw9ABhSbvc
_*9322 1:49 |in .| 8Nw9ABhSbvc
_*9323 1:55 |out . in , out .| 8Nw9ABhSbvc
_*9324 2:01 |car and drive . drive there . drive there .| 8Nw9ABhSbvc
_*9325 2:08 |with . a-hand shape , put together .| 8Nw9ABhSbvc
_*9326 2:16 |hospital . h-hand shape makes + on arm .| 8Nw9ABhSbvc
_*9327 2:24 |house . showing the roof and sides . house .| 8Nw9ABhSbvc
_*9328 2:31 |my house . your house.okay , cool . that 's it !| 8Nw9ABhSbvc
_*9329 2:36 |let 's review !| 8Nw9ABhSbvc
_*9330 2:39 |home , work , school , store , church .| 8Nw9ABhSbvc
_*9331 2:46 |come , go , in , out , car + drive .| 8Nw9ABhSbvc
_*9332 2:54 |with , hospital , house .| 8Nw9ABhSbvc
_*9333 3:00 |all done ! see , it was short .| 8Nw9ABhSbvc
_*9334 3:04 |see you tomorrow for day 5 see you later , bye !| 8Nw9ABhSbvc
_*9335 3:09 |learn asl in 31 days : day 4| 8Nw9ABhSbvc
_*9336 0:49 |a thousand times i 've failed| WAbays4OGlA
_*9337 0:52 |still your mercy remains| WAbays4OGlA
_*9338 0:56 |and should i stumble again| WAbays4OGlA
_*9339 1:00 |still i 'm caught in your grace| WAbays4OGlA
_*9340 1:03 everlasting WAbays4OGlA
_*9341 1:05 |your light will shine| WAbays4OGlA
_*9342 1:07 |when all else fades| WAbays4OGlA
_*9343 1:10 |never ending| WAbays4OGlA
_*9344 1:12 |your glory goes beyond all fame| WAbays4OGlA
_*9345 1:31 |your will above all else| WAbays4OGlA
_*9346 1:34 |my purpose remains| WAbays4OGlA
_*9347 1:38 |the art of losing myself| WAbays4OGlA
_*9348 1:41 |in bringing you praise| WAbays4OGlA
_*9349 1:45 everlasting WAbays4OGlA
_*9350 1:46 |your light will shine| WAbays4OGlA
_*9351 1:48 |when all else fades| WAbays4OGlA
_*9352 1:51 |never ending| WAbays4OGlA
_*9353 1:53 |your glory goes beyond all fame| WAbays4OGlA
_*9354 2:00 |my heart , my soul ,| WAbays4OGlA
_*9355 2:03 |i give you control| WAbays4OGlA
_*9356 2:07 |consume me| WAbays4OGlA
_*9357 2:09 |from the inside out , lord| WAbays4OGlA
_*9358 2:14 |let justice and praise| WAbays4OGlA
_*9359 2:18 |become my embrace| WAbays4OGlA
_*9360 2:21 |to love you from the inside out| WAbays4OGlA
_*9361 2:44 |your will above all else ,| WAbays4OGlA
_*9362 2:46 |my purpose remains| WAbays4OGlA
_*9363 2:50 |the art of losing myself| WAbays4OGlA
_*9364 2:53 |in bringing you praise| WAbays4OGlA
_*9365 2:57 everlasting WAbays4OGlA
_*9366 2:59 |your light will shine| WAbays4OGlA
_*9367 3:01 |when all else fades| WAbays4OGlA
_*9368 3:04 |never ending| WAbays4OGlA
_*9369 3:06 |your glory goes beyond all fame| WAbays4OGlA
_*9370 3:12 |my heart , my soul ,| WAbays4OGlA
_*9371 3:16 |i give you control| WAbays4OGlA
_*9372 3:19 |consume me| WAbays4OGlA
_*9373 3:21 |from the inside out , lord| WAbays4OGlA
_*9374 3:26 |let justice and praise| WAbays4OGlA
_*9375 3:30 |become my embrace| WAbays4OGlA
_*9376 3:33 |to love you from the inside out| WAbays4OGlA
_*9377 3:39 everlasting WAbays4OGlA
_*9378 3:40 |your light will shine| WAbays4OGlA
_*9379 3:42 |when all else fades| WAbays4OGlA
_*9380 3:45 |never ending| WAbays4OGlA
_*9381 3:47 |your glory goes beyond all fame| WAbays4OGlA
_*9382 3:52 |and the cry of my heart| WAbays4OGlA
_*9383 3:55 |is to bring you praise| WAbays4OGlA
_*9384 3:59 |from the inside out| WAbays4OGlA
_*9385 4:02 |lord , my soul cries out| WAbays4OGlA
_*9386 4:13 |my soul cries out to you| WAbays4OGlA
_*9387 4:36 |my heart , my soul ,| WAbays4OGlA
_*9388 4:39 |i give you control| WAbays4OGlA
_*9389 4:42 |consume me| WAbays4OGlA
_*9390 4:44 |from the inside out , lord| WAbays4OGlA
_*9391 4:49 |let justice and praise| WAbays4OGlA
_*9392 4:53 |become my embrace| WAbays4OGlA
_*9393 4:56 |to love you from the inside out| WAbays4OGlA
_*9394 5:01 everlasting WAbays4OGlA
_*9395 5:03 |your light will shine| WAbays4OGlA
_*9396 5:05 |when all else fades| WAbays4OGlA
_*9397 5:08 |never ending| WAbays4OGlA
_*9398 5:10 |your glory goes beyond all fame| WAbays4OGlA
_*9399 5:15 |and the cry of my heart| WAbays4OGlA
_*9400 5:17 |is to bring you praise| WAbays4OGlA
_*9401 5:22 |from the inside out| WAbays4OGlA
_*9402 5:24 |lord , my soul cries out| WAbays4OGlA
_*9403 5:29 everlasting WAbays4OGlA
_*9404 5:31 |your light will shine| WAbays4OGlA
_*9405 5:32 |when all else fades| WAbays4OGlA
_*9406 5:35 |never ending| WAbays4OGlA
_*9407 5:37 |your glory goes beyond all fame| WAbays4OGlA
_*9408 5:43 |and the cry of my heart| WAbays4OGlA
_*9409 5:45 |is to bring you praise| WAbays4OGlA
_*9410 5:50 |from the inside out| WAbays4OGlA
